Lookup Value|MB/Sec Wall|MB/Sec User|MB/Sec System
pi3_b2sum_512_1024|51|166|526
pi3_b2sum_512_5120|148|168|1243
pi3_b2sum_512_10240|148|168|1279
pi3_b2sum_512_15360|148|168|1288
pi3_b2sum_1_1024|85|133|227
pi3_b2sum_1_5120|85|134|224
pi3_b2sum_1_10240|85|134|222
pi3_b2sum_1_15360|85|134|225
