Lookup Value|MB/Sec Wall|MB/Sec User|MB/Sec System
pi3_sha256sum_512_1024|64|68|1369
pi3_sha256sum_512_5120|64|68|1298
pi3_sha256sum_512_10240|64|68|1259
pi3_sha256sum_512_15360|64|68|1331
pi3_sha256sum_1_1024|49|62|218
pi3_sha256sum_1_5120|49|62|218
pi3_sha256sum_1_10240|49|62|219
pi3_sha256sum_1_15360|49|62|222
