Lookup Value|MB/Sec Wall|MB/Sec User|MB/Sec System
PI04-08-03_sha256sum_512_1024|108|116|1448
PI04-08-03_sha256sum_512_5120|108|117|1384
PI04-08-03_sha256sum_512_10240|108|117|1365
PI04-08-03_sha256sum_512_15360|108|117|1382
PI04-08-03_sha256sum_1_1024|62|105|146
PI04-08-03_sha256sum_1_5120|62|106|143
PI04-08-03_sha256sum_1_10240|62|106|144
PI04-08-03_sha256sum_1_15360|62|106|143
