Hostname|UCT Date_time|Dictionary bytes|Effective Iterations|Iterations|Number of Copies|Total size|Cryptographic Hash|WallTime|UserTime|Systime|MB/Sec Wall|MB/Sec User|MB/Sec System
pi04-04-02|20220303_2119|976241|1Kib|1024|1|999670784|sha256sum|16.48|9.40|7.24|60|106|138
Hostname|UCT Date_time|Dictionary bytes|Effective Iterations|Iterations|Number of Copies|Total size|Cryptographic Hash|WallTime|UserTime|Systime|MB/Sec Wall|MB/Sec User|MB/Sec System
pi04-04-02|20220303_2120|976241|5Kib|5120|1|4998353920|sha256sum|82.04|46.46|36.63|60|107|136
Hostname|UCT Date_time|Dictionary bytes|Effective Iterations|Iterations|Number of Copies|Total size|Cryptographic Hash|WallTime|UserTime|Systime|MB/Sec Wall|MB/Sec User|MB/Sec System
pi04-04-02|20220303_2123|976241|10Kib|10240|1|9996707840|sha256sum|164.04|92.82|73.27|60|107|136
Hostname|UCT Date_time|Dictionary bytes|Effective Iterations|Iterations|Number of Copies|Total size|Cryptographic Hash|WallTime|UserTime|Systime|MB/Sec Wall|MB/Sec User|MB/Sec System
pi04-04-02|20220303_2127|976241|15Kib|15360|1|14995061760|sha256sum|246.75|139.72|109.93|60|107|136
