Lookup Value|MB/Sec Wall|MB/Sec User|MB/Sec System
PI04-08-03_dd_512_1024|73|263|101
PI04-08-03_dd_512_5120|73|266|101
PI04-08-03_dd_512_10240|73|270|100
PI04-08-03_dd_512_15360|72|270|99
PI04-08-03_dd_1_1024|49|223|62
PI04-08-03_dd_1_5120|49|227|62
PI04-08-03_dd_1_10240|49|228|62
PI04-08-03_dd_1_15360|49|229|62
