Lookup Value|MB/Sec Wall|MB/Sec User|MB/Sec System
pi04-04-02_b2sum_512_1024|54|118|520
pi04-04-02_b2sum_512_5120|107|120|1056
pi04-04-02_b2sum_512_10240|108|121|1029
pi04-04-02_b2sum_512_15360|108|120|1104
pi04-04-02_b2sum_1_1024|59|109|127
pi04-04-02_b2sum_1_5120|59|108|129
pi04-04-02_b2sum_1_10240|59|107|130
pi04-04-02_b2sum_1_15360|59|107|129
