Lookup Value|MB/Sec Wall|MB/Sec User|MB/Sec System
PI04-08-03_b2sum_512_1024|206|245|1315
PI04-08-03_b2sum_512_5120|208|246|1361
PI04-08-03_b2sum_512_10240|208|246|1338
PI04-08-03_b2sum_512_15360|208|247|1321
PI04-08-03_b2sum_1_1024|85|203|142
PI04-08-03_b2sum_1_5120|85|205|141
PI04-08-03_b2sum_1_10240|85|205|142
PI04-08-03_b2sum_1_15360|85|206|141
