Lookup Value|MB/Sec Wall|MB/Sec User|MB/Sec System
hplap_sha256sum_512_1024|87|89|3844
hplap_sha256sum_512_5120|67|68|3310
hplap_sha256sum_512_10240|54|55|2872
hplap_sha256sum_512_15360|55|56|2630
hplap_sha256sum_1_1024|33|37|302
hplap_sha256sum_1_5120|32|36|298
hplap_sha256sum_1_10240|32|36|304
hplap_sha256sum_1_15360|32|35|302
