Lookup Value|MB/Sec Wall|MB/Sec User|MB/Sec System
pi3_dd_512_1024|59|157|95
pi3_dd_512_5120|59|158|96
pi3_dd_512_10240|59|161|95
pi3_dd_512_15360|59|160|95
pi3_dd_1_1024|47|135|71
pi3_dd_1_5120|47|135|71
pi3_dd_1_10240|47|136|71
pi3_dd_1_15360|47|134|71
