Lookup Value|MB/Sec Wall|MB/Sec User|MB/Sec System
Inspiron3185_b2sum_512_1024|395|436|4165
Inspiron3185_b2sum_512_5120|407|442|5152
Inspiron3185_b2sum_512_10240|406|439|5403
Inspiron3185_b2sum_512_15360|407|440|5492
Inspiron3185_b2sum_1_1024|240|371|662
Inspiron3185_b2sum_1_5120|240|371|663
Inspiron3185_b2sum_1_10240|240|368|673
Inspiron3185_b2sum_1_15360|238|365|667
