Lookup Value|MB/Sec Wall|MB/Sec User|MB/Sec System
pi04-04-02_dd_512_1024|69|269|98
pi04-04-02_dd_512_5120|72|268|99
pi04-04-02_dd_512_10240|72|269|99
pi04-04-02_dd_512_15360|72|264|100
pi04-04-02_dd_1_1024|49|219|62
pi04-04-02_dd_1_5120|48|224|61
pi04-04-02_dd_1_10240|48|226|61
pi04-04-02_dd_1_15360|48|221|62
