Hostname|UCT Date_time|Dictionary bytes|Effective Iterations|Iterations|Number of Copies|Total size|Cryptographic Hash|WallTime|UserTime|Systime|
pi3|20220304_0536|976241|1Kib|2|512|999670784|sha1sum|9.09|8.28|0.79|109|120|1265
pi3|20220304_0537|976241|5Kib|10|512|4998353920|sha1sum|45.37|41.43|3.90|110|120|1281
pi3|20220304_0538|976241|10Kib|20|512|9996707840|sha1sum|90.81|82.72|8.00|110|120|1249
pi3|20220304_0541|976241|15Kib|30|512|14995061760|sha1sum|136.25|124.14|11.90|110|120|1260
pi3|20220304_0541|976241|1Kib|1024|1|999670784|sha1sum|13.98|9.76|4.46|71|102|224
pi3|20220304_0542|976241|5Kib|5120|1|4998353920|sha1sum|69.91|48.45|22.63|71|103|220
pi3|20220304_0544|976241|10Kib|10240|1|9996707840|sha1sum|139.86|96.86|45.33|71|103|220
pi3|20220304_0548|976241|15Kib|15360|1|14995061760|sha1sum|209.84|145.54|67.76|71|103|221
